job_id,job_title,industry,location,salary_usd,skills_required,remote_option,company_size,posting_date,month,month_name
28,Smart Contract Engineer,Blockchain,Dubai,228902,Solidity; Rust,No,Small,01-01-2025,1,January
29,AI Engineer,Ai,New York,107735,PyTorch; TensorFlow,Yes,Medium,18-12-2025,12,December
30,Quantum Software Developer,Quantum Computing,Tokyo,160752,Qiskit; Linear Algebra,No,Small,05-04-2025,4,April
31,Renewable Energy Engineer,Green Tech,London,103065,Climate Data Analysis; Energy Modeling,No,Large,04-05-2025,5,May
32,Renewable Energy Engineer,Green Tech,London,94222,Energy Modeling; Climate Data Analysis,No,Medium,13-07-2025,7,July
33,Smart Contract Engineer,Blockchain,Singapore,240202,Solidity; Ethereum,No,Large,06-11-2025,11,November
34,AI Engineer,Ai,Berlin,175142,TensorFlow; PyTorch,Yes,Large,18-01-2025,1,January
35,AI Engineer,Ai,London,200374,PyTorch; Python,Yes,Small,16-03-2025,3,March
36,Blockchain Developer,Blockchain,London,148378,Ethereum; Solidity,Yes,Medium,06-10-2025,10,October
37,Quantum Researcher,Quantum Computing,Tokyo,150402,Qiskit; Linear Algebra,Yes,Large,25-02-2025,2,February
38,Renewable Energy Engineer,Green Tech,Singapore,201161,Energy Modeling; Climate Data Analysis,No,Large,13-10-2025,10,October
39,ML Researcher,Ai,Berlin,76133,TensorFlow; Python,Yes,Small,27-12-2025,12,December
40,Blockchain Developer,Blockchain,London,187672,Rust; Solidity,Yes,Large,12-10-2025,10,October
41,Quantum Software Developer,Quantum Computing,Tokyo,227029,Linear Algebra; Quantum Algorithms,No,Medium,31-12-2025,12,December
42,Smart Contract Engineer,Blockchain,Dubai,96432,Ethereum; Rust,No,Small,14-05-2025,5,May
43,Quantum Software Developer,Quantum Computing,London,145451,Linear Algebra; Quantum Algorithms,Yes,Medium,09-07-2025,7,July
44,ML Researcher,Ai,London,56990,Python; TensorFlow,No,Small,06-03-2025,3,March
45,Blockchain Developer,Blockchain,Dubai,155708,Ethereum; Solidity,No,Small,30-01-2025,1,January
46,Quantum Software Developer,Quantum Computing,London,222633,Qiskit; Quantum Algorithms,No,Large,08-08-2025,8,August
47,Renewable Energy Engineer,Green Tech,Singapore,188452,Energy Modeling; Climate Data Analysis,Yes,Small,19-01-2025,1,January
48,Renewable Energy Engineer,Green Tech,New York,168462,Energy Modeling; Climate Data Analysis,Yes,Large,25-12-2025,12,December
49,Quantum Software Developer,Quantum Computing,New York,54770,Quantum Algorithms; Linear Algebra,No,Small,26-05-2025,5,May
50,Quantum Researcher,Quantum Computing,Dubai,224859,Linear Algebra; Quantum Algorithms,Yes,Medium,26-06-2025,6,June
51,Renewable Energy Engineer,Green Tech,New York,87478,Climate Data Analysis; Energy Modeling,Yes,Large,18-02-2025,2,February
52,AI Engineer,Ai,New York,150402,Python; TensorFlow,Yes,Small,25-08-2025,8,August
53,Sustainability Analyst,Green Tech,Singapore,213723,Climate Data Analysis; Energy Modeling,Yes,Medium,06-11-2025,11,November
54,Smart Contract Engineer,Blockchain,Berlin,178953,Rust; Solidity,No,Large,26-01-2025,1,January
55,Smart Contract Engineer,Blockchain,Berlin,53902,Ethereum; Solidity,No,Large,08-05-2025,5,May
56,ML Researcher,Ai,Berlin,144942,TensorFlow; PyTorch,Yes,Medium,06-12-2025,12,December
57,Quantum Researcher,Quantum Computing,New York,177875,Quantum Algorithms; Linear Algebra,No,Small,24-01-2025,1,January
58,Quantum Software Developer,Quantum Computing,New York,60387,Quantum Algorithms; Qiskit,Yes,Small,16-11-2025,11,November
59,Sustainability Analyst,Green Tech,Singapore,148827,Energy Modeling; Climate Data Analysis,Yes,Small,13-03-2025,3,March
60,Smart Contract Engineer,Blockchain,New York,237964,Ethereum; Rust,No,Medium,18-04-2025,4,April
61,Blockchain Developer,Blockchain,Tokyo,123218,Rust; Solidity,Yes,Small,21-08-2025,8,August
62,Renewable Energy Engineer,Green Tech,Singapore,228583,Climate Data Analysis; Energy Modeling,No,Large,03-09-2025,9,September
63,Smart Contract Engineer,Blockchain,Tokyo,92895,Rust; Ethereum,No,Small,21-12-2025,12,December
64,Blockchain Developer,Blockchain,Dubai,79151,Rust; Solidity,Yes,Large,27-05-2025,5,May
65,Quantum Researcher,Quantum Computing,London,80631,Quantum Algorithms; Qiskit,Yes,Medium,15-03-2025,3,March
66,AI Engineer,Ai,Dubai,131254,PyTorch; Python,No,Small,17-05-2025,5,May
67,Sustainability Analyst,Green Tech,Tokyo,233720,Energy Modeling; Climate Data Analysis,Yes,Medium,19-10-2025,10,October
68,Blockchain Developer,Blockchain,New York,220074,Ethereum; Solidity,Yes,Large,08-09-2025,9,September
69,Smart Contract Engineer,Blockchain,Dubai,150402,Ethereum; Rust,No,Large,01-12-2025,12,December
70,Renewable Energy Engineer,Green Tech,London,77980,Climate Data Analysis; Energy Modeling,No,Medium,15-07-2025,7,July
71,Blockchain Developer,Blockchain,Berlin,153287,Ethereum; Solidity,Yes,Medium,18-10-2025,10,October
72,Renewable Energy Engineer,Green Tech,New York,92067,Climate Data Analysis; Energy Modeling,No,Medium,02-01-2025,1,January
73,Data Scientist,Ai,London,249885,PyTorch; Python,No,Small,15-05-2025,5,May
74,Quantum Researcher,Quantum Computing,Singapore,59737,Quantum Algorithms; Linear Algebra,No,Large,03-12-2025,12,December
75,Renewable Energy Engineer,Green Tech,Tokyo,190693,Climate Data Analysis; Energy Modeling,No,Large,16-08-2025,8,August
76,Data Scientist,Ai,Dubai,135752,PyTorch; Python,Yes,Small,15-05-2025,5,May
77,Quantum Researcher,Quantum Computing,London,249565,Quantum Algorithms; Linear Algebra,Yes,Small,14-04-2025,4,April
78,Data Scientist,Ai,Dubai,89447,Python; PyTorch,No,Medium,13-03-2025,3,March
79,Data Scientist,Ai,Dubai,249952,PyTorch; Python,Yes,Medium,03-07-2025,7,July
80,Smart Contract Engineer,Blockchain,New York,161896,Rust; Solidity,Yes,Medium,06-08-2025,8,August
81,Sustainability Analyst,Green Tech,Dubai,195896,Climate Data Analysis; Energy Modeling,No,Small,10-04-2025,4,April
82,Blockchain Developer,Blockchain,New York,166524,Rust; Ethereum,Yes,Small,20-07-2025,7,July
83,Blockchain Developer,Blockchain,Dubai,201048,Rust; Solidity,Yes,Large,17-07-2025,7,July
84,Smart Contract Engineer,Blockchain,Tokyo,141598,Rust; Ethereum,No,Large,26-03-2025,3,March
85,Sustainability Analyst,Green Tech,London,128803,Climate Data Analysis; Energy Modeling,Yes,Medium,23-11-2025,11,November
86,Quantum Software Developer,Quantum Computing,Singapore,100859,Quantum Algorithms; Linear Algebra,Yes,Small,08-07-2025,7,July
87,Quantum Researcher,Quantum Computing,Dubai,236421,Linear Algebra; Qiskit,Yes,Small,17-07-2025,7,July
88,Quantum Software Developer,Quantum Computing,Berlin,182275,Quantum Algorithms; Linear Algebra,No,Medium,22-11-2025,11,November
89,Quantum Software Developer,Quantum Computing,Dubai,229560,Quantum Algorithms; Qiskit,Yes,Medium,20-09-2025,9,September
90,Quantum Software Developer,Quantum Computing,Tokyo,126173,Qiskit; Quantum Algorithms,No,Medium,20-02-2025,2,February
91,Renewable Energy Engineer,Green Tech,Singapore,208192,Energy Modeling; Climate Data Analysis,No,Small,13-11-2025,11,November
92,Sustainability Analyst,Green Tech,Singapore,220796,Climate Data Analysis; Energy Modeling,No,Medium,23-06-2025,6,June
93,Quantum Researcher,Quantum Computing,Dubai,114350,Linear Algebra; Qiskit,No,Large,10-12-2025,12,December
94,Smart Contract Engineer,Blockchain,Dubai,79916,Ethereum; Solidity,Yes,Small,28-02-2025,2,February
95,Smart Contract Engineer,Blockchain,London,187831,Solidity; Ethereum,No,Medium,04-07-2025,7,July
96,Blockchain Developer,Blockchain,Berlin,199549,Rust; Solidity,Yes,Small,26-07-2025,7,July
97,Renewable Energy Engineer,Green Tech,Dubai,62257,Energy Modeling; Climate Data Analysis,Yes,Small,02-08-2025,8,August
98,Smart Contract Engineer,Blockchain,Tokyo,113775,Solidity; Ethereum,Yes,Medium,17-06-2025,6,June
99,Smart Contract Engineer,Blockchain,Tokyo,156267,Solidity; Ethereum,Yes,Small,20-06-2025,6,June
100,AI Engineer,Ai,Tokyo,201677,PyTorch; TensorFlow,No,Large,05-12-2025,12,December
101,Data Scientist,Ai,New York,147467,Python; PyTorch,Yes,Small,11-10-2025,10,October
102,Smart Contract Engineer,Blockchain,London,247521,Ethereum; Rust,Yes,Large,19-10-2025,10,October
103,ML Researcher,Ai,Tokyo,192471,Python; PyTorch,Yes,Medium,25-04-2025,4,April
104,Quantum Researcher,Quantum Computing,London,70638,Quantum Algorithms; Linear Algebra,No,Large,19-08-2025,8,August
105,Smart Contract Engineer,Blockchain,New York,138547,Solidity; Ethereum,No,Medium,07-05-2025,5,May
106,Quantum Researcher,Quantum Computing,Dubai,101188,Qiskit; Quantum Algorithms,Yes,Small,12-12-2025,12,December
107,AI Engineer,Ai,Singapore,86671,PyTorch; TensorFlow,Yes,Large,30-04-2025,4,April
108,Quantum Researcher,Quantum Computing,London,134790,Quantum Algorithms; Linear Algebra,Yes,Small,14-12-2025,12,December
109,Renewable Energy Engineer,Green Tech,Dubai,214976,Climate Data Analysis; Energy Modeling,No,Small,31-10-2025,10,October
110,Data Scientist,Ai,London,147423,Python; TensorFlow,Yes,Medium,22-06-2025,6,June
111,Sustainability Analyst,Green Tech,Singapore,202836,Climate Data Analysis; Energy Modeling,No,Large,20-05-2025,5,May
112,Quantum Researcher,Quantum Computing,Dubai,93416,Linear Algebra; Quantum Algorithms,Yes,Medium,25-08-2025,8,August
113,Data Scientist,Ai,Singapore,98160,PyTorch; TensorFlow,Yes,Medium,13-09-2025,9,September
114,ML Researcher,Ai,Tokyo,161667,TensorFlow; PyTorch,No,Small,20-09-2025,9,September
115,Smart Contract Engineer,Blockchain,Tokyo,242785,Rust; Solidity,No,Small,18-05-2025,5,May
116,Quantum Researcher,Quantum Computing,London,212646,Linear Algebra; Qiskit,No,Medium,16-07-2025,7,July
117,ML Researcher,Ai,New York,63215,Python; PyTorch,No,Medium,04-01-2025,1,January
118,Smart Contract Engineer,Blockchain,London,86040,Rust; Solidity,No,Small,08-03-2025,3,March
119,Quantum Software Developer,Quantum Computing,Dubai,51023,Linear Algebra; Qiskit,Yes,Medium,14-04-2025,4,April
120,AI Engineer,Ai,Dubai,52746,TensorFlow; Python,No,Medium,19-09-2025,9,September
121,Sustainability Analyst,Green Tech,New York,142705,Energy Modeling; Climate Data Analysis,Yes,Medium,14-03-2025,3,March
122,Sustainability Analyst,Green Tech,Berlin,174051,Climate Data Analysis; Energy Modeling,No,Small,06-09-2025,9,September
123,Quantum Software Developer,Quantum Computing,Berlin,202562,Quantum Algorithms; Qiskit,No,Small,19-04-2025,4,April
124,Renewable Energy Engineer,Green Tech,Tokyo,152190,Climate Data Analysis; Energy Modeling,No,Large,12-03-2025,3,March
125,Smart Contract Engineer,Blockchain,London,67821,Rust; Ethereum,Yes,Large,17-12-2025,12,December
126,Quantum Researcher,Quantum Computing,New York,207175,Linear Algebra; Qiskit,Yes,Large,27-07-2025,7,July
127,Renewable Energy Engineer,Green Tech,Singapore,74744,Energy Modeling; Climate Data Analysis,Yes,Large,17-12-2025,12,December
128,Quantum Software Developer,Quantum Computing,Berlin,202805,Linear Algebra; Quantum Algorithms,No,Medium,25-03-2025,3,March
129,Data Scientist,Ai,Tokyo,149528,Python; TensorFlow,Yes,Medium,18-11-2025,11,November
130,Sustainability Analyst,Green Tech,London,142226,Climate Data Analysis; Energy Modeling,No,Medium,30-09-2025,9,September
131,Quantum Researcher,Quantum Computing,Berlin,200826,Qiskit; Linear Algebra,No,Medium,27-04-2025,4,April
132,Quantum Software Developer,Quantum Computing,Berlin,104160,Quantum Algorithms; Linear Algebra,No,Large,12-06-2025,6,June
133,AI Engineer,Ai,Singapore,229764,Python; PyTorch,Yes,Large,30-05-2025,5,May
134,Quantum Software Developer,Quantum Computing,New York,79013,Qiskit; Quantum Algorithms,Yes,Small,31-10-2025,10,October
135,Quantum Researcher,Quantum Computing,Tokyo,125838,Qiskit; Linear Algebra,No,Small,20-01-2025,1,January
136,ML Researcher,Ai,London,207673,PyTorch; TensorFlow,Yes,Small,25-12-2025,12,December
137,Sustainability Analyst,Green Tech,London,233670,Energy Modeling; Climate Data Analysis,Yes,Small,14-05-2025,5,May
138,Blockchain Developer,Blockchain,New York,79886,Solidity; Ethereum,Yes,Medium,28-03-2025,3,March
139,Blockchain Developer,Blockchain,Berlin,148516,Rust; Ethereum,Yes,Medium,20-03-2025,3,March
140,Renewable Energy Engineer,Green Tech,London,84598,Energy Modeling; Climate Data Analysis,No,Medium,07-05-2025,5,May
141,Blockchain Developer,Blockchain,New York,157579,Solidity; Ethereum,No,Large,21-11-2025,11,November
142,AI Engineer,Ai,Singapore,151674,Python; TensorFlow,Yes,Medium,01-09-2025,9,September
143,Blockchain Developer,Blockchain,London,245022,Solidity; Rust,Yes,Small,31-07-2025,7,July
144,Renewable Energy Engineer,Green Tech,London,150747,Energy Modeling; Climate Data Analysis,No,Large,29-04-2025,4,April
145,Quantum Researcher,Quantum Computing,Berlin,155555,Qiskit; Linear Algebra,No,Medium,19-03-2025,3,March
146,Smart Contract Engineer,Blockchain,Tokyo,109969,Solidity; Ethereum,No,Medium,29-05-2025,5,May
147,Sustainability Analyst,Green Tech,London,240330,Climate Data Analysis; Energy Modeling,No,Large,13-03-2025,3,March
148,Smart Contract Engineer,Blockchain,Tokyo,115024,Solidity; Ethereum,Yes,Small,02-03-2025,3,March
149,Quantum Researcher,Quantum Computing,Tokyo,243406,Quantum Algorithms; Linear Algebra,Yes,Large,17-08-2025,8,August
150,Renewable Energy Engineer,Green Tech,Berlin,193325,Climate Data Analysis; Energy Modeling,No,Large,22-03-2025,3,March
151,Quantum Researcher,Quantum Computing,Dubai,239742,Qiskit; Quantum Algorithms,No,Large,18-10-2025,10,October
152,Quantum Software Developer,Quantum Computing,Berlin,123810,Linear Algebra; Quantum Algorithms,Yes,Large,24-04-2025,4,April
153,Data Scientist,Ai,Berlin,237464,TensorFlow; Python,Yes,Large,09-01-2025,1,January
154,Blockchain Developer,Blockchain,Singapore,195943,Solidity; Ethereum,No,Medium,14-10-2025,10,October
155,ML Researcher,Ai,London,144746,Python; TensorFlow,No,Large,23-01-2025,1,January
156,AI Engineer,Ai,London,97601,Python; PyTorch,No,Medium,21-02-2025,2,February
157,Sustainability Analyst,Green Tech,New York,72704,Climate Data Analysis; Energy Modeling,No,Small,23-04-2025,4,April
158,Renewable Energy Engineer,Green Tech,Tokyo,181649,Climate Data Analysis; Energy Modeling,Yes,Medium,06-07-2025,7,July
159,ML Researcher,Ai,Singapore,175481,Python; TensorFlow,No,Medium,30-04-2025,4,April
160,AI Engineer,Ai,Tokyo,160689,Python; TensorFlow,Yes,Small,27-02-2025,2,February
161,Quantum Researcher,Quantum Computing,Dubai,200863,Quantum Algorithms; Qiskit,Yes,Small,13-07-2025,7,July
162,Sustainability Analyst,Green Tech,Singapore,78820,Climate Data Analysis; Energy Modeling,No,Medium,16-12-2025,12,December
163,Quantum Software Developer,Quantum Computing,Tokyo,162922,Linear Algebra; Quantum Algorithms,No,Small,14-12-2025,12,December
164,Quantum Researcher,Quantum Computing,New York,100994,Quantum Algorithms; Qiskit,No,Small,28-01-2025,1,January
165,Quantum Software Developer,Quantum Computing,Berlin,202658,Qiskit; Linear Algebra,Yes,Medium,25-05-2025,5,May
166,AI Engineer,Ai,Dubai,202405,TensorFlow; PyTorch,No,Medium,24-06-2025,6,June
167,Quantum Software Developer,Quantum Computing,Berlin,175493,Quantum Algorithms; Linear Algebra,No,Large,03-07-2025,7,July
168,Smart Contract Engineer,Blockchain,Singapore,126396,Ethereum; Rust,No,Small,01-03-2025,3,March
169,Smart Contract Engineer,Blockchain,Singapore,219622,Rust; Ethereum,No,Small,17-01-2025,1,January
170,Renewable Energy Engineer,Green Tech,Singapore,153416,Climate Data Analysis; Energy Modeling,No,Medium,10-11-2025,11,November
171,Quantum Researcher,Quantum Computing,Berlin,98465,Linear Algebra; Quantum Algorithms,Yes,Large,02-07-2025,7,July
172,Smart Contract Engineer,Blockchain,Berlin,117711,Rust; Ethereum,No,Small,05-03-2025,3,March
173,Blockchain Developer,Blockchain,Dubai,218890,Rust; Ethereum,Yes,Medium,23-02-2025,2,February
174,Renewable Energy Engineer,Green Tech,New York,197656,Climate Data Analysis; Energy Modeling,Yes,Large,24-06-2025,6,June
175,Smart Contract Engineer,Blockchain,Singapore,182118,Ethereum; Solidity,No,Small,30-07-2025,7,July
176,Sustainability Analyst,Green Tech,Berlin,73481,Energy Modeling; Climate Data Analysis,Yes,Large,01-06-2025,6,June
177,Blockchain Developer,Blockchain,New York,155470,Ethereum; Solidity,No,Small,24-09-2025,9,September
178,Renewable Energy Engineer,Green Tech,Dubai,129100,Energy Modeling; Climate Data Analysis,No,Medium,12-12-2025,12,December
179,Quantum Researcher,Quantum Computing,London,146322,Linear Algebra; Qiskit,Yes,Large,21-01-2025,1,January
180,Smart Contract Engineer,Blockchain,Dubai,57434,Ethereum; Solidity,No,Small,15-06-2025,6,June
181,Quantum Researcher,Quantum Computing,London,51885,Quantum Algorithms; Linear Algebra,No,Medium,05-05-2025,5,May
182,Quantum Software Developer,Quantum Computing,London,83588,Quantum Algorithms; Qiskit,Yes,Large,14-11-2025,11,November
183,Renewable Energy Engineer,Green Tech,Singapore,141564,Climate Data Analysis; Energy Modeling,Yes,Large,27-03-2025,3,March
184,Quantum Researcher,Quantum Computing,Berlin,229705,Linear Algebra; Quantum Algorithms,No,Large,11-04-2025,4,April
185,Sustainability Analyst,Green Tech,Dubai,86346,Energy Modeling; Climate Data Analysis,Yes,Medium,18-09-2025,9,September
186,ML Researcher,Ai,Tokyo,132971,Python; PyTorch,Yes,Small,16-07-2025,7,July
187,Renewable Energy Engineer,Green Tech,Tokyo,168602,Energy Modeling; Climate Data Analysis,Yes,Small,16-01-2025,1,January
188,Quantum Software Developer,Quantum Computing,Tokyo,165036,Qiskit; Linear Algebra,Yes,Small,05-08-2025,8,August
189,Sustainability Analyst,Green Tech,London,149363,Energy Modeling; Climate Data Analysis,No,Large,16-09-2025,9,September
190,Smart Contract Engineer,Blockchain,Dubai,169342,Solidity; Rust,No,Small,14-03-2025,3,March
191,Quantum Researcher,Quantum Computing,London,86692,Quantum Algorithms; Qiskit,Yes,Medium,04-10-2025,10,October
192,Data Scientist,Ai,Singapore,178069,TensorFlow; Python,Yes,Medium,02-10-2025,10,October
193,Sustainability Analyst,Green Tech,New York,188115,Climate Data Analysis; Energy Modeling,Yes,Small,28-09-2025,9,September
194,ML Researcher,Ai,London,78160,TensorFlow; Python,Yes,Small,01-02-2025,2,February
195,Quantum Software Developer,Quantum Computing,Dubai,223060,Qiskit; Linear Algebra,No,Small,11-10-2025,10,October
196,Smart Contract Engineer,Blockchain,Tokyo,113011,Solidity; Rust,Yes,Large,13-09-2025,9,September
197,Quantum Software Developer,Quantum Computing,Singapore,163975,Quantum Algorithms; Qiskit,No,Large,05-02-2025,2,February
198,Blockchain Developer,Blockchain,New York,154984,Rust; Ethereum,No,Small,16-09-2025,9,September
199,ML Researcher,Ai,Singapore,108419,TensorFlow; Python,Yes,Small,13-10-2025,10,October
200,Renewable Energy Engineer,Green Tech,London,141585,Energy Modeling; Climate Data Analysis,Yes,Large,09-01-2025,1,January
201,Smart Contract Engineer,Blockchain,Singapore,162399,Rust; Solidity,Yes,Large,09-08-2025,8,August
202,Smart Contract Engineer,Blockchain,London,235501,Rust; Ethereum,Yes,Large,30-03-2025,3,March
203,Quantum Software Developer,Quantum Computing,Tokyo,155892,Linear Algebra; Quantum Algorithms,Yes,Large,30-07-2025,7,July
204,Smart Contract Engineer,Blockchain,Singapore,79487,Rust; Solidity,No,Large,15-06-2025,6,June
205,Data Scientist,Ai,London,208206,TensorFlow; Python,No,Small,15-03-2025,3,March
206,Smart Contract Engineer,Blockchain,Dubai,124758,Rust; Solidity,Yes,Large,19-06-2025,6,June
207,Quantum Software Developer,Quantum Computing,Berlin,66624,Qiskit; Quantum Algorithms,No,Large,11-03-2025,3,March
208,Quantum Software Developer,Quantum Computing,New York,164103,Quantum Algorithms; Qiskit,Yes,Small,07-10-2025,10,October
209,Sustainability Analyst,Green Tech,New York,203897,Climate Data Analysis; Energy Modeling,Yes,Medium,05-06-2025,6,June
210,Smart Contract Engineer,Blockchain,Berlin,65042,Solidity; Rust,Yes,Medium,16-08-2025,8,August
211,Sustainability Analyst,Green Tech,Dubai,121216,Climate Data Analysis; Energy Modeling,Yes,Large,21-10-2025,10,October
212,Quantum Researcher,Quantum Computing,Singapore,215387,Quantum Algorithms; Qiskit,No,Small,30-11-2025,11,November
213,Smart Contract Engineer,Blockchain,London,240101,Ethereum; Solidity,Yes,Medium,30-12-2025,12,December
214,ML Researcher,Ai,Dubai,220415,PyTorch; TensorFlow,No,Large,13-11-2025,11,November
215,Sustainability Analyst,Green Tech,Berlin,221994,Climate Data Analysis; Energy Modeling,Yes,Large,15-12-2025,12,December
216,Quantum Researcher,Quantum Computing,Dubai,175521,Qiskit; Linear Algebra,Yes,Medium,02-05-2025,5,May
217,Renewable Energy Engineer,Green Tech,London,97662,Energy Modeling; Climate Data Analysis,No,Small,20-02-2025,2,February
218,Blockchain Developer,Blockchain,Dubai,100205,Ethereum; Solidity,No,Small,07-11-2025,11,November
219,Renewable Energy Engineer,Green Tech,Berlin,188304,Energy Modeling; Climate Data Analysis,Yes,Large,10-01-2025,1,January
220,Blockchain Developer,Blockchain,Berlin,89969,Ethereum; Rust,Yes,Small,31-03-2025,3,March
221,Quantum Researcher,Quantum Computing,London,186919,Quantum Algorithms; Qiskit,No,Medium,29-09-2025,9,September
222,AI Engineer,Ai,Dubai,179721,Python; PyTorch,No,Large,16-10-2025,10,October
223,Renewable Energy Engineer,Green Tech,Dubai,170643,Energy Modeling; Climate Data Analysis,Yes,Small,16-01-2025,1,January
224,Sustainability Analyst,Green Tech,Berlin,231713,Energy Modeling; Climate Data Analysis,No,Medium,06-08-2025,8,August
225,Quantum Software Developer,Quantum Computing,Tokyo,103854,Linear Algebra; Quantum Algorithms,No,Small,15-09-2025,9,September
226,Quantum Researcher,Quantum Computing,New York,127374,Linear Algebra; Quantum Algorithms,No,Medium,24-05-2025,5,May
227,Blockchain Developer,Blockchain,Dubai,104431,Solidity; Rust,Yes,Small,17-07-2025,7,July
228,Blockchain Developer,Blockchain,Tokyo,153673,Rust; Ethereum,No,Large,31-10-2025,10,October
229,Sustainability Analyst,Green Tech,Tokyo,152582,Climate Data Analysis; Energy Modeling,No,Medium,26-08-2025,8,August
230,Data Scientist,Ai,London,233856,TensorFlow; PyTorch,Yes,Medium,25-11-2025,11,November
231,Blockchain Developer,Blockchain,London,223210,Ethereum; Rust,No,Medium,23-03-2025,3,March
232,Sustainability Analyst,Green Tech,Singapore,174471,Climate Data Analysis; Energy Modeling,No,Large,16-04-2025,4,April
233,Blockchain Developer,Blockchain,Berlin,87352,Solidity; Rust,Yes,Large,02-06-2025,6,June
234,Blockchain Developer,Blockchain,Tokyo,84604,Ethereum; Rust,Yes,Medium,06-12-2025,12,December
235,ML Researcher,Ai,Dubai,169919,Python; PyTorch,No,Small,05-03-2025,3,March
236,Quantum Researcher,Quantum Computing,Dubai,167425,Quantum Algorithms; Qiskit,Yes,Large,23-10-2025,10,October
237,Blockchain Developer,Blockchain,Dubai,147685,Rust; Ethereum,Yes,Small,07-06-2025,6,June
238,Sustainability Analyst,Green Tech,Berlin,121292,Climate Data Analysis; Energy Modeling,No,Medium,29-05-2025,5,May
239,Blockchain Developer,Blockchain,New York,201356,Solidity; Ethereum,No,Small,22-04-2025,4,April
240,Quantum Software Developer,Quantum Computing,London,171712,Qiskit; Quantum Algorithms,Yes,Small,12-05-2025,5,May
241,Data Scientist,Ai,New York,70577,TensorFlow; Python,No,Small,11-08-2025,8,August
242,ML Researcher,Ai,London,199785,PyTorch; TensorFlow,No,Medium,01-08-2025,8,August
243,Renewable Energy Engineer,Green Tech,New York,82221,Climate Data Analysis; Energy Modeling,No,Medium,26-09-2025,9,September
244,Renewable Energy Engineer,Green Tech,Dubai,195969,Energy Modeling; Climate Data Analysis,No,Medium,02-02-2025,2,February
245,Blockchain Developer,Blockchain,Berlin,162050,Rust; Ethereum,No,Medium,30-06-2025,6,June
246,Sustainability Analyst,Green Tech,Berlin,194488,Climate Data Analysis; Energy Modeling,Yes,Small,18-10-2025,10,October
247,Data Scientist,Ai,Tokyo,107470,TensorFlow; Python,No,Medium,26-01-2025,1,January
